City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Bairiki,KI,1.3292,172.9752,86.0,74,75,10.36,broken clouds
296,Battle Creek,US,42.3212,-85.1797,37.99,44,90,16.11,overcast clouds
297,Ponta Delgada,PT,37.7333,-25.6667,59.0,77,40,5.75,scattered clouds
298,Lasa,IT,46.6166,10.7002,54.0,65,0,4.61,clear sky
299,Yamethin,MM,20.4333,96.15,74.52,49,36,6.73,scattered clouds
300,Poum,NC,-20.2333,164.0167,79.68,70,100,11.5,overcast clouds
301,Hirara,JP,24.8,125.2833,75.2,100,75,13.8,broken clouds
302,Pontianak,ID,-0.0333,109.3333,75.2,100,75,3.44,mist
303,Cuajinicuilapa,MX,16.4667,-98.4167,87.69,41,28,8.48,scattered clouds
304,Gisborne,NZ,-38.6533,178.0042,61.0,87,45,10.0,scattered clouds
305,Gobabis,NA,-22.45,18.9667,67.96,51,100,7.11,overcast clouds
306,Kahului,US,20.8947,-156.47,82.4,61,40,23.02,scattered clouds
307,Tyup,KG,42.7276,78.3648,27.73,64,59,5.12,broken clouds
308,Pec,XK,42.6591,20.2883,39.2,65,0,5.35,clear sky
309,Shenjiamen,CN,29.9576,122.298,59.65,99,100,4.41,overcast clouds
310,Fortuna,US,40.5982,-124.1573,73.4,27,1,11.5,clear sky
311,Bereznik,RU,62.8551,42.7072,33.87,87,100,8.37,overcast clouds
312,Pathein,MM,16.7833,94.7333,74.03,92,1,4.21,clear sky
313,Ponta Do Sol,PT,32.6667,-17.1,57.99,71,22,1.99,few clouds
314,Chapais,CA,49.7834,-74.8492,21.2,79,90,13.8,overcast clouds
315,Huarmey,PE,-10.0681,-78.1522,70.59,84,12,8.77,few clouds
316,Bozhou,CN,33.8772,115.7703,48.72,92,100,9.44,overcast clouds
317,Necochea,AR,-38.5473,-58.7368,61.0,83,94,4.0,overcast clouds
318,Lata,PT,40.1629,-8.3327,63.0,66,100,7.43,overcast clouds
319,Rundu,NA,-17.9333,19.7667,67.59,62,99,3.22,overcast clouds
320,Coquimbo,CL,-29.9533,-71.3436,59.0,88,40,9.22,scattered clouds
321,Trairi,BR,-3.2778,-39.2689,76.05,92,100,7.14,overcast clouds
322,Dodge City,US,37.7528,-100.0171,59.0,21,40,13.8,scattered clouds
323,Talnakh,RU,69.4865,88.3972,-24.25,85,5,5.68,clear sky
324,Labuhan,ID,-6.8844,112.2051,78.58,87,100,5.7,overcast clouds
325,Hohhot,CN,40.8106,111.6522,44.6,93,40,4.47,light rain
326,Puri,IN,19.8,85.85,78.8,94,40,9.22,mist
327,Ilulissat,GL,69.2167,-51.1,17.6,73,75,1.14,broken clouds
328,Nichinan,JP,31.6,131.3667,62.6,72,75,5.75,broken clouds
329,Dongli,CN,23.5656,116.8194,75.2,88,20,3.89,mist
330,Rongcheng,CN,30.634,117.8517,59.16,96,100,3.98,light rain
331,Ahipara,NZ,-35.1667,173.1667,66.79,80,56,11.54,broken clouds
332,Inta,RU,66.0317,60.1659,28.31,97,100,7.31,snow
333,Sai Buri,TH,6.7013,101.6168,77.38,86,94,4.47,overcast clouds
334,Camabatela,AO,-8.1881,15.375,62.04,98,99,1.95,light rain
335,Cap Malheureux,MU,-19.9842,57.6142,77.0,85,6,1.99,light rain
336,Khor,RU,47.8861,134.9464,39.79,65,0,5.03,clear sky
337,Bonfim,BR,3.0833,-59.95,84.97,50,64,13.0,broken clouds
338,Ancud,CL,-41.8697,-73.8203,59.0,82,0,3.44,light rain
339,Muros,ES,42.7762,-9.0603,63.0,71,100,10.13,overcast clouds
340,Nalut,LY,30.3333,10.85,59.99,30,2,10.13,clear sky
341,Talakan,RU,50.3167,130.3667,38.17,58,94,5.95,overcast clouds
342,La Joya,MX,18.6667,-99.4667,96.01,25,90,5.75,overcast clouds
343,Victoria,HK,22.2855,114.1577,79.0,85,95,1.01,overcast clouds
344,Bershet,RU,57.7309,56.3783,33.8,93,75,13.42,snow
